"FBO-Objekt","ICAO","Bezeichnung","KS","Mietpreis","Mietbeginn","Letzte Mietzahlung","Nächste Mietzahlung","Konto"
"FBO","CAT5","FBO","1","10.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Business Lounge","CBQ2","Business Lounge","1","30.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Passenger Terminal 10 Pax","CBQ2","GGA-Terminal (10)","1","1.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","CBQ2","FBO","1","10.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Business Lounge","CYBD","Business Lounge","1","30.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Passenger Terminal 10 Pax","CYBD","GGA-Terminal (10)","1","1.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","CYBD","FBO","1","10.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Business Lounge","EBOS","Business Lounge","1","50.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","EBOS","FBO","1","20.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Combo Terminal 50 Pax / 15t Cargo","EBOS","GGA-Terminal 50Pax / 15to","1","30.800 €","12.10.2022","12.10.2022","11.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","EDDS","FBO","1","30.000 €","27.07.2022","25.10.2022","24.11.2022","600-2424878 - Gonzos Global Aviation"
"Business Lounge","EDDS","Business Lounge","1","70.000 €","27.07.2022","25.10.2022","24.11.2022","600-2424878 - Gonzos Global Aviation"
"Combo Terminal 50 Pax / 15t Cargo","EDDS","GGA-Terminal 50Pax / 15to","1","92.400 €","12.10.2022","12.10.2022","11.11.2022","600-2424878 - Gonzos Global Aviation"
"Passenger Terminal 20 Pax","EDER","GGA-Terminal (20)","1","4.800 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Business Lounge","EDER","Business Lounge","1","40.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","EDER","FBO","1","15.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Passenger Terminal 20 Pax","EDFZ","GGA-Terminal (20)","1","4.800 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Business Lounge","EDFZ","Business Lounge","1","40.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","EDFZ","FBO","1","15.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Business Lounge","EDHK","Business Lounge","1","40.000 €","08.08.2022","07.10.2022","06.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","EDHK","FBO","1","15.000 €","08.08.2022","07.10.2022","06.11.2022","600-2424878 - Gonzos Global Aviation"
"Combo Terminal 50 Pax / 15t Cargo","EDHK","GGA-Terminal 50Pax / 15to","1","15.400 €","12.10.2022","12.10.2022","11.11.2022","600-2424878 - Gonzos Global Aviation"
"Business Lounge","EDVK","Business Lounge","1","50.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","EDVK","FBO","1","20.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Combo Terminal 50 Pax / 15t Cargo","EDVK","GGA-Terminal 50Pax / 15to","1","30.800 €","12.10.2022","12.10.2022","11.11.2022","600-2424878 - Gonzos Global Aviation"
"Passenger Terminal 20 Pax","EDWF","GGA-Terminal (20)","1","2.400 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","EDWF","FBO","1","10.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Passenger Terminal 20 Pax","EDWG","GGA-Terminal (20)","1","2.400 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","EDWG","FBO","1","10.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Passenger Terminal 20 Pax","EDWJ","GGA-Terminal (20)","1","2.400 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","EDWJ","FBO","1","10.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Passenger Terminal 20 Pax","EDWL","GGA-Terminal (20)","1","2.400 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","EDWL","FBO","1","10.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Business Lounge","EDWR","Business Lounge","1","30.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Passenger Terminal 20 Pax","EDWR","GGA-Terminal (20)","1","2.400 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","EDWR","FBO","1","10.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Passenger Terminal 20 Pax","EDWS","GGA-Terminal (20)","1","2.400 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","EDWS","FBO","1","10.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Passenger Terminal 20 Pax","EDWY","GGA-Terminal (20)","1","2.400 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","EDWY","FBO","1","10.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Passenger Terminal 20 Pax","EDWZ","GGA-Terminal (20)","1","2.400 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","EDWZ","FBO","1","10.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Passenger Terminal 20 Pax","EDXB","GGA-Terminal (20)","1","2.400 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","EDXB","FBO","1","10.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Passenger Terminal 20 Pax","EDXH","GGA-Terminal (20)","1","2.400 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","EDXH","FBO","1","10.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Business Lounge","EGLC","Business Lounge","1","60.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","EGLC","FBO","1","25.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Combo Terminal 50 Pax / 15t Cargo","EGLC","GGA-Terminal 50Pax / 15to","1","61.600 €","12.10.2022","12.10.2022","11.11.2022","600-2424878 - Gonzos Global Aviation"
"Passenger Terminal 20 Pax","EHAL","GGA-Terminal (20)","1","2.400 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","EHAL","FBO","1","10.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Business Lounge","EHGG","Business Lounge","1","50.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","EHGG","FBO","1","20.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Combo Terminal 50 Pax / 15t Cargo","EHGG","GGA-Terminal 50Pax / 15to","1","30.800 €","12.10.2022","12.10.2022","11.11.2022","600-2424878 - Gonzos Global Aviation"
"Business Lounge","EHTX","Business Lounge","1","30.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Passenger Terminal 20 Pax","EHTX","GGA-Terminal (20)","1","2.400 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","EHTX","FBO","1","10.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Business Lounge","ELLX","Business Lounge","1","60.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","ELLX","FBO","1","25.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Combo Terminal 50 Pax / 15t Cargo","ELLX","GGA-Terminal 50Pax / 15to","1","61.600 €","15.10.2022","15.10.2022","14.11.2022","600-2424878 - Gonzos Global Aviation"
"Business Lounge","KHAF","Business Lounge","1","30.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Passenger Terminal 10 Pax","KHAF","GGA-Terminal (10)","1","1.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","KHAF","FBO","1","10.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Business Lounge","KMOD","Business Lounge","1","30.000 €","21.10.2022","21.10.2022","20.11.2022","600-2424878 - Gonzos Global Aviation"
"Passenger Terminal 10 Pax","KMOD","GGA Terminal (10)","1","1.000 €","21.10.2022","21.10.2022","20.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","KMOD","FBO","1","10.000 €","21.10.2022","21.10.2022","20.11.2022","600-2424878 - Gonzos Global Aviation"
"Passenger Terminal 10 Pax","KMPI","GGA Terminal (10)","1","2.000 €","21.10.2022","21.10.2022","20.11.2022","600-2424878 - Gonzos Global Aviation"
"Business Lounge","KMPI","Business Lounge","1","40.000 €","21.10.2022","21.10.2022","20.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","KMPI","FBO","1","15.000 €","21.10.2022","21.10.2022","20.11.2022","600-2424878 - Gonzos Global Aviation"
"Business Lounge","KMYV","Business Lounge","1","30.000 €","22.10.2022","22.10.2022","21.11.2022","600-2424878 - Gonzos Global Aviation"
"Passenger Terminal 20 Pax","KMYV","Passenger Terminal 20 Pax","1","2.400 €","22.10.2022","22.10.2022","21.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","KMYV","FBO","1","10.000 €","22.10.2022","22.10.2022","21.11.2022","600-2424878 - Gonzos Global Aviation"
"Passenger Terminal 20 Pax","KRNT","GGA-Terminal (20)","1","4.800 €","22.09.2022","22.10.2022","21.11.2022","600-2424878 - Gonzos Global Aviation"
"Business Lounge","KRNT","Business Lounge","1","40.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","KRNT","FBO","1","15.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Business Lounge","KTVL","Business Lounge","1","30.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Passenger Terminal 10 Pax","KTVL","GGA-Terminal (10)","1","1.000 €","11.08.2022","10.10.2022","09.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","KTVL","FBO","1","10.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Business Lounge","KUKI","Business Lounge","0","30.000 €","21.10.2022","21.10.2022","20.11.2022","600-2424878 - Gonzos Global Aviation"
"Passenger Terminal 10 Pax","KUKI","Passenger Terminal 10 Pax","0","1.000 €","21.10.2022","21.10.2022","20.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","KUKI","FBO","0","10.000 €","21.10.2022","21.10.2022","20.11.2022","600-2424878 - Gonzos Global Aviation"
"Business Lounge","LEMU","Business Lounge","1","30.000 €","14.10.2022","14.10.2022","13.11.2022","600-2424878 - Gonzos Global Aviation"
"Passenger Terminal 20 Pax","LEMU","GGA Terminal (20) ","1","2.400 €","14.10.2022","14.10.2022","13.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","LEMU","FBO","1","10.000 €","14.10.2022","14.10.2022","13.11.2022","600-2424878 - Gonzos Global Aviation"
"Business Lounge","LFKC","Business Lounge","1","50.000 €","19.09.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","LFKC","FBO","1","20.000 €","19.09.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Combo Terminal 50 Pax / 15t Cargo","LFKC","GGA-Terminal 50Pax / 15to ","1","30.800 €","11.10.2022","11.10.2022","10.11.2022","600-2424878 - Gonzos Global Aviation"
"Passenger Terminal 20 Pax","LFLI","GGA-Terminal (20)","1","4.800 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Business Lounge","LFLI","Business Lounge","1","40.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","LFLI","FBO","1","15.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Passenger Terminal 20 Pax","LFLJ","GGA-Terminal (20)","1","4.800 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Business Lounge","LFLJ","Business Lounge","1","40.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","LFLJ","FBO","1","15.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Business Lounge","LFMP","Business Lounge","1","50.000 €","12.10.2022","12.10.2022","11.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","LFMP","FBO","1","20.000 €","11.10.2022","11.10.2022","10.11.2022","600-2424878 - Gonzos Global Aviation"
"Combo Terminal 50 Pax / 15t Cargo","LFMP","GGA-Terminal 50Pax / 15to ","1","30.800 €","11.10.2022","11.10.2022","10.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","LFQJ","FBO","1","5.000 €","23.10.2022","23.10.2022","22.11.2022","600-2424878 - Gonzos Global Aviation"
"Business Lounge","LFQJ","Business Lounge","1","20.000 €","23.10.2022","23.10.2022","22.11.2022","600-2424878 - Gonzos Global Aviation"
"Passenger Terminal 20 Pax","LFQJ","GGA Terminal (20)","1","1.200 €","23.10.2022","23.10.2022","22.11.2022","600-2424878 - Gonzos Global Aviation"
"Business Lounge","LICB","Business Lounge","1","50.000 €","12.10.2022","12.10.2022","11.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","LICB","FBO","1","20.000 €","12.10.2022","12.10.2022","11.11.2022","600-2424878 - Gonzos Global Aviation"
"Combo Terminal 50 Pax / 15t Cargo","LICB","GGA-Terminal 50Pax / 15to ","1","30.800 €","12.10.2022","12.10.2022","11.11.2022","600-2424878 - Gonzos Global Aviation"
"Business Lounge","LSZA","Business Lounge","1","50.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","LSZA","FBO","1","20.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Combo Terminal 50 Pax / 15t Cargo","LSZA","GGA-Terminal 50Pax / 15to","1","30.800 €","12.10.2022","12.10.2022","11.11.2022","600-2424878 - Gonzos Global Aviation"
"Passenger Terminal 20 Pax","LSZR","GGA-Terminal (20)","1","9.600 €","29.08.2022","28.10.2022","27.11.2022","600-2424878 - Gonzos Global Aviation"
"Business Lounge","LSZR","Business Lounge","1","50.000 €","30.07.2022","28.10.2022","27.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","LSZR","FBO","1","20.000 €","30.07.2022","28.10.2022","27.11.2022","600-2424878 - Gonzos Global Aviation"
"Passenger Terminal 20 Pax","LSZS","GGA-Terminal (20)","1","9.600 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Business Lounge","LSZS","Business Lounge","1","50.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","LSZS","FBO","1","20.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Business Lounge","LXGB","Business Lounge","1","50.000 €","12.10.2022","12.10.2022","11.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","LXGB","FBO","1","20.000 €","12.10.2022","12.10.2022","11.11.2022","600-2424878 - Gonzos Global Aviation"
"Combo Terminal 50 Pax / 15t Cargo","LXGB","GGA-Terminal 50Pax / 15to","1","30.800 €","12.10.2022","12.10.2022","11.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","MACH","FBO","1","5.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Business Lounge","MACH","Business Lounge","1","20.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Passenger Terminal 10 Pax","MACH","GGA-Terminal (10)","1","500 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Business Lounge","O02","Business Lounge","1","30.000 €","21.10.2022","21.10.2022","20.11.2022","600-2424878 - Gonzos Global Aviation"
"Passenger Terminal 10 Pax","O02","GGA Terminal (10)","1","1.000 €","21.10.2022","21.10.2022","20.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","O02","FBO","1","10.000 €","21.10.2022","21.10.2022","20.11.2022","600-2424878 - Gonzos Global Aviation"
"Business Lounge","O24","Business Lounge","1","30.000 €","21.10.2022","21.10.2022","20.11.2022","600-2424878 - Gonzos Global Aviation"
"Passenger Terminal 10 Pax","O24","GGA Terminal (10)","1","1.000 €","21.10.2022","21.10.2022","20.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","O24","FBO","1","10.000 €","21.10.2022","21.10.2022","20.11.2022","600-2424878 - Gonzos Global Aviation"
"Business Lounge","O69","Business Lounge","1","30.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Passenger Terminal 10 Pax","O69","GGA-Terminal (10)","1","1.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","O69","FBO","1","10.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"FBO","QUAT","FBO","1","5.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Business Lounge","QUAT","Business Lounge","1","20.000 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
"Passenger Terminal 10 Pax","QUAT","GGA-Terminal (10)","1","500 €","21.07.2022","19.10.2022","18.11.2022","600-2424878 - Gonzos Global Aviation"
